bus_id,route_id,place1,timestamp1_in,timestamp1_out,place2,timestamp2_in,timestamp2_out,place3,timestamp3_in,timestamp3_out,place4,timestamp4_in,timestamp4_out,place5,timestamp5_in,timestamp5_out,place6,timestamp6_in,timestamp6_out,place7,timestamp7_in,timestamp7_out,place8,timestamp8_in,timestamp8_out,place9,timestamp9_in,timestamp9_out
31,8,1,06:10:39,06:10:39,2,06:14:19,06:14:19,3,06:15:38,06:15:40,4,06:22:10,06:22:11,,,,6,06:24:49,06:24:49,7,06:30:41,06:30:41,8,06:32:17,06:32:17,9,06:34:39,06:35:13
31,8,1,07:18:39,08:10:38,2,08:15:37,08:15:40,3,08:17:08,08:17:11,4,08:23:45,08:23:45,5,08:26:02,08:26:02,6,08:27:05,08:27:05,7,08:34:30,08:34:30,8,08:36:22,08:36:40,9,08:38:37,08:39:12
31,8,1,09:41:39,10:11:09,2,10:17:16,10:17:16,3,10:19:09,10:19:11,4,10:26:30,10:27:14,5,10:28:40,10:28:40,6,10:29:47,10:29:47,7,10:38:54,10:39:11,8,10:41:42,10:41:42,9,10:44:26,10:44:26
31,8,1,12:10:40,12:10:40,2,12:17:57,12:17:57,3,12:19:33,12:19:33,4,12:27:06,12:27:06,5,12:29:19,12:29:19,6,12:30:40,12:30:40,7,12:41:36,12:41:40,8,12:43:11,12:43:11,9,12:46:49,12:46:56
31,8,1,14:10:41,14:10:41,2,14:17:17,14:17:17,3,14:19:12,14:19:12,4,14:26:49,14:26:49,,,,6,14:29:00,14:29:00,7,14:41:26,14:41:40,8,14:43:39,14:43:41,9,14:47:34,14:47:34
31,8,1,16:02:11,16:11:41,2,16:17:56,16:17:56,3,16:19:22,16:19:22,4,16:26:59,16:27:36,5,16:29:08,16:29:10,6,16:30:13,16:30:13,7,16:40:22,16:40:40,8,16:42:37,16:42:39,9,16:46:47,16:46:56
31,8,1,18:19:42,18:19:42,2,18:27:06,18:27:06,3,18:28:34,18:28:41,4,18:35:42,18:35:42,,,,6,18:37:53,18:37:53,7,18:48:47,18:48:47,8,18:50:53,18:50:53,,,
31,8,1,20:14:13,20:14:13,,,,3,20:21:58,20:22:12,,,,,,,,,,,,,,,,,,
31,8,,,,2,20:22:45,20:22:46,,,,4,20:29:19,20:29:19,5,20:30:45,20:30:45,6,20:31:53,20:31:53,,,,,,,,,
31,8,,,,2,20:33:08,20:33:12,,,,,,,,,,,,,7,20:39:27,20:39:27,,,,,,
31,8,1,21:57:45,22:15:17,2,22:21:30,22:21:30,3,22:22:43,22:22:43,4,22:30:31,22:30:40,5,22:32:07,22:32:07,6,22:33:17,22:33:17,7,22:43:18,22:43:18,8,22:46:49,22:46:49,9,22:50:26,22:50:26
31,8,1,23:39:47,23:42:45,,,,,,,4,23:52:31,23:52:31,,,,6,23:54:32,23:54:32,,,,,,,,,
